"Genus","OTU","pvalue","seasoncooccurrence","Process"
"Macellibacteroides","Zotu13267",0.014,"Fall","Eff"
"Dethiobacter","Zotu13280",0.017,"Spring-Winter","Eff"
"Enterobacter","Zotu13291",0.012,"Spring-Winter","Eff"
"Mycobacterium","Zotu13292",0.011,"Spring-Winter","Eff"
"Aeromonas","Zotu13301",0.008,"Spring-Winter","Eff"
"uncultured","Zotu13303",0.001,"Spring-Winter","Eff"
"Acidovorax","Zotu13305",0.014,"Spring","Eff"
"Paludibacter","Zotu13307",0.001,"Spring-Winter","Eff"
"Emticicia","Zotu13313",0.007,"Winter","Eff"
"Bacteroides","Zotu13315",0.001,"Winter","Eff"
"Bacteroides","Zotu13320",0.001,"Spring-Winter","Eff"
"Anaerostipes","Zotu13330",0.021,"Winter","Eff"
"Flavobacterium","Zotu13342",0.031,"Winter","Eff"
"Hydrogenispora","Zotu13348",0.039,"Winter","Eff"
"Vitreoscilla","Zotu13351",0.036,"Winter","Eff"
"0319-6G20","Zotu13356",0.008,"Spring","Eff"
"Parasutterella","Zotu13359",0.043,"Spring","Eff"
"Kapabacteriales","Zotu13369",0.002,"Spring-Winter","Eff"
"Citrobacter","Zotu13391",0.047,"Spring-Winter","Eff"
"Taibaiella","Zotu13394",0.011,"Spring-Winter","Eff"
"Aeromonas","Zotu13397",0.001,"Spring","Eff"
"Kluyvera","Zotu13407",0.034,"Spring-Winter","Eff"
"Acinetobacter","Zotu13420",0.029,"Fall-Winter","Eff"
"Bdellovibrio","Zotu13427",0.048,"Spring-Winter","Eff"
"uncultured","Zotu13433",0.003,"Winter","Eff"
"Prevotella","Zotu13438",0.006,"Winter","Eff"
"Selenomonas","Zotu13466",0.023,"Spring","Eff"
"M2PB4-65_termite_group","Zotu13484",0.008,"Spring-Winter","Eff"
"Flectobacillus","Zotu13487",0.011,"Spring","Eff"
"Acinetobacter","Zotu13488",0.006,"Spring","Eff"
"uncultured","Zotu13509",0.011,"Spring-Winter","Eff"
"Propionivibrio","Zotu13513",0.01,"Spring","Eff"
"Family_XIII_AD3011_group","Zotu13525",0.029,"Spring-Winter","Eff"
"Christensenellaceae_R-7_group","Zotu13536",0.038,"Winter","Eff"
"RF39","Zotu13558",0.017,"Spring","Eff"
"Pelosinus","Zotu13567",0.003,"Spring-Winter","Eff"
"Deinococcus","Zotu13575",0.006,"Winter","Eff"
"Flectobacillus","Zotu13576",0.001,"Winter","Eff"
"Paracoccus","Zotu13584",0.021,"Spring","Eff"
"Anaerolinea","Zotu13613",0.011,"Spring-Winter","Eff"
"Candidatus_Electronema","Zotu13633",0.017,"Spring-Winter","Eff"
"Butyrivibrio","Zotu13652",0.018,"Winter","Eff"
"Citrobacter","Zotu13673",0.005,"Spring-Winter","Eff"
"Acinetobacter","Zotu13676",0.022,"Spring-Winter","Eff"
"Christensenellaceae_R-7_group","Zotu13677",0.024,"Spring","Eff"
"Raoultella","Zotu13700",0.003,"Spring","Eff"
"Bacteroides","Zotu13707",0.001,"Spring","Eff"
"Zoogloea","Zotu13720",0.026,"Spring-Winter","Eff"
"Mitochondria","Zotu13721",0.011,"Spring-Winter","Eff"
"Acetobacterium","Zotu13724",0.005,"Spring-Winter","Eff"
"Bifidobacterium","Zotu13729",0.025,"Spring-Winter","Eff"
"Williamwhitmania","Zotu13738",0.001,"Spring","Eff"
"Aeromonas","Zotu13758",0.012,"Spring","Eff"
"[Cytophaga]_xylanolytica_group","Zotu13760",0.048,"Spring-Winter","Eff"
"Saccharimonadales","Zotu13772",0.018,"Fall-Winter","Eff"
"WCHB1-41","Zotu13780",0.015,"Spring","Eff"
"Arsenicibacter","Zotu13782",0.018,"Spring-Winter","Eff"
"Treponema","Zotu13784",0.005,"Winter","Eff"
"Kaistia","Zotu13794",0.004,"Fall-Spring-Winter","Eff"
"[Eubacterium]_coprostanoligenes_group","Zotu13797",0.009,"Spring-Winter","Eff"
"Muribaculaceae","Zotu13800",0.012,"Spring","Eff"
"Candidatus_Nomurabacteria","Zotu13805",0.017,"Spring-Winter","Eff"
"Prevotella","Zotu13808",0.039,"Spring-Winter","Eff"
"Anaerospora","Zotu13818",0.046,"Spring-Winter","Eff"
"Acinetobacter","Zotu13820",0.001,"Winter","Eff"
"uncultured","Zotu13832",0.03,"Fall","Eff"
"dgA-11_gut_group","Zotu13833",0.001,"Spring-Winter","Eff"
"uncultured","Zotu13845",0.016,"Spring","Eff"
"Tolumonas","Zotu13846",0.001,"Spring","Eff"
"Prevotella","Zotu13847",0.012,"Spring","Eff"
"Blautia","Zotu13857",0.012,"Spring-Winter","Eff"
"Paludibacter","Zotu13861",0.043,"Fall","Eff"
"Prevotella","Zotu13865",0.006,"Winter","Eff"
"Bifidobacterium","Zotu13876",0.001,"Spring-Winter","Eff"
"KD1-131","Zotu13890",0.016,"Fall","Eff"
"Comamonas","Zotu13901",0.01,"Spring-Winter","Eff"
"Acetoanaerobium","Zotu13906",0.016,"Fall","Eff"
"Prevotella","Zotu13920",0.007,"Winter","Eff"
"Bdellovibrio","Zotu13930",0.007,"Spring","Eff"
"uncultured","Zotu13932",0.004,"Spring","Eff"
"Enterobacter","Zotu13963",0.017,"Spring","Eff"
"Lachnospiraceae_ND3007_group","Zotu13965",0.001,"Spring","Eff"
"Paludibacter","Zotu13983",0.006,"Winter","Eff"
"Pajaroellobacter","Zotu13987",0.035,"Spring-Winter","Eff"
"Alistipes","Zotu13988",0.001,"Winter","Eff"
"Propionivibrio","Zotu13992",0.003,"Spring-Winter","Eff"
"Lachnoclostridium","Zotu13997",0.005,"Spring-Winter","Eff"
"Candidatus_Alysiosphaera","Zotu14007",0.011,"Spring-Winter","Eff"
"Flavobacterium","Zotu14008",0.002,"Spring","Eff"
"Alkanindiges","Zotu14012",0.001,"Spring-Winter","Eff"
"Mitochondria","Zotu14017",0.001,"Spring","Eff"
"uncultured","Zotu14040",0.027,"Winter","Eff"
"[Eubacterium]_brachy_group","Zotu14058",0.002,"Fall-Spring-Winter","Eff"
"Propionivibrio","Zotu14076",0.023,"Fall-Winter","Eff"
"Quatrionicoccus","Zotu14081",0.01,"Winter","Eff"
"Macellibacteroides","Zotu14082",0.02,"Spring-Winter","Eff"
"uncultured","Zotu14088",0.028,"Spring-Winter","Eff"
"Tolumonas","Zotu14093",0.014,"Spring","Eff"
"Romboutsia","Zotu14100",0.031,"Spring-Winter","Eff"
"Bacteroides","Zotu14108",0.007,"Spring","Eff"
"Bifidobacterium","Zotu14127",0.007,"Winter","Eff"
"Blautia","Zotu14143",0.024,"Spring-Winter","Eff"
"Citrobacter","Zotu14150",0.028,"Spring-Winter","Eff"
"Legionella","Zotu14153",0.048,"Spring-Winter","Eff"
"Chloroplast","Zotu14173",0.017,"Fall-Spring","Eff"
"uncultured","Zotu14183",0.01,"Fall-Spring-Winter","Eff"
"Dechloromonas","Zotu14185",0.021,"Spring-Winter","Eff"
"Leptolinea","Zotu14192",0.033,"Spring-Winter","Eff"
"Desulforegula","Zotu14201",0.039,"Spring-Winter","Eff"
"Monoglobus","Zotu14221",0.016,"Fall","Eff"
"RF39","Zotu14225",0.016,"Spring","Eff"
"Klebsiella","Zotu14228",0.049,"Spring","Eff"
"Erysipelatoclostridium","Zotu14230",0.008,"Winter","Eff"
"Bacteroides","Zotu14231",0.003,"Spring","Eff"
"Pseudarcobacter","Zotu14233",0.023,"Spring","Eff"
"Prevotella","Zotu14236",0.001,"Spring","Eff"
"Ruminococcus","Zotu14239",0.015,"Winter","Eff"
"Moheibacter","Zotu14245",0.035,"Spring-Winter","Eff"
"Alistipes","Zotu14249",0.042,"Spring","Eff"
"Pelosinus","Zotu14252",0.004,"Spring-Winter","Eff"
"Pseudopelobacter","Zotu14253",0.046,"Winter","Eff"
"Prevotella","Zotu14254",0.002,"Spring-Winter","Eff"
"Niveibacterium","Zotu14262",0.029,"Fall-Winter","Eff"
"Acinetobacter","Zotu14267",0.027,"Spring","Eff"
"uncultured","Zotu14268",0.047,"Spring-Winter","Eff"
"Coprococcus","Zotu14270",0.001,"Spring-Winter","Eff"
"Fibrobacteraceae","Zotu14271",0.02,"Winter","Eff"
"Sulfuricurvum","Zotu14272",0.001,"Spring","Eff"
"env.OPS_17","Zotu14273",0.027,"Fall-Spring-Winter","Eff"
"Enterobacter","Zotu14275",0.039,"Spring-Winter","Eff"
"Aestuariimicrobium","Zotu14280",0.004,"Spring","Eff"
"Chryseobacterium","Zotu14290",0.001,"Spring-Winter","Eff"
"WCHB1-41","Zotu14295",0.001,"Spring-Winter","Eff"
"Legionella","Zotu14298",0.02,"Spring","Eff"
"Janthinobacterium","Zotu14300",0.049,"Spring-Winter","Eff"
"Bacteroides","Zotu14310",0.003,"Spring","Eff"
"uncultured","Zotu14312",0.029,"Spring-Winter","Eff"
"Lacunisphaera","Zotu14314",0.002,"Spring","Eff"
"Acetobacterium","Zotu14315",0.049,"Spring-Winter","Eff"
"Prevotella","Zotu14316",0.005,"Winter","Eff"
"Prevotella","Zotu14317",0.006,"Spring","Eff"
"Christensenellaceae_R-7_group","Zotu14321",0.004,"Winter","Eff"
"Streptococcus","Zotu14324",0.002,"Spring","Eff"
"Aeromonas","Zotu14335",0.007,"Spring-Winter","Eff"
"Microbacterium","Zotu14341",0.005,"Spring","Eff"
"Tepidimicrobium","Zotu14343",0.02,"Spring","Eff"
"Desulfobulbus","Zotu14344",0.001,"Spring-Winter","Eff"
"Monoglobus","Zotu14346",0.02,"Spring","Eff"
"Bacteroides","Zotu14354",0.048,"Spring-Winter","Eff"
"Ga0077536","Zotu14355",0.027,"Spring-Winter","Eff"
"UCG-008","Zotu14356",0.002,"Spring-Winter","Eff"
"uncultured","Zotu14365",0.001,"Spring-Winter","Eff"
"Prevotella","Zotu14377",0.003,"Spring-Winter","Eff"
"Anaerostipes","Zotu14384",0.046,"Fall-Winter","Eff"
"Anaeromusa-Anaeroarcus","Zotu14386",0.002,"Spring","Eff"
"Blautia","Zotu14387",0.013,"Winter","Eff"
"Acinetobacter","Zotu14391",0.01,"Winter","Eff"
"Prevotella","Zotu14396",0.015,"Winter","Eff"
"Faecalibacterium","Zotu14398",0.005,"Spring-Winter","Eff"
"Lachnospiraceae_ND3007_group","Zotu14403",0.002,"Spring-Winter","Eff"
"Geobacter","Zotu14407",0.001,"Winter","Eff"
"Pelosinus","Zotu14411",0.001,"Spring-Winter","Eff"
"Acinetobacter","Zotu14412",0.015,"Spring-Winter","Eff"
"Sphaerotilus","Zotu14421",0.009,"Spring","Eff"
"Bilophila","Zotu14425",0.032,"Spring-Winter","Eff"
"Absconditabacteriales_","Zotu14432",0.005,"Winter","Eff"
"Macellibacteroides","Zotu14437",0.033,"Spring-Winter","Eff"
"Faecalibacterium","Zotu14442",0.027,"Spring-Winter","Eff"
"uncultured","Zotu14444",0.029,"Fall-Spring-Winter","Eff"
"Bacteroides","Zotu14448",0.003,"Fall","Eff"
"Elstera","Zotu14450",0.016,"Fall","Eff"
"Chryseobacterium","Zotu14452",0.007,"Fall-Winter","Eff"
"Blautia","Zotu14456",0.016,"Fall","Eff"
"Paludibacter","Zotu14459",0.04,"Winter","Eff"
"uncultured","Zotu14469",0.041,"Winter","Eff"
"Paludibacter","Zotu14477",0.001,"Spring-Winter","Eff"
"TC1","Zotu14481",0.005,"Winter","Eff"
"Aeromonas","Zotu14483",0.016,"Fall","Eff"
"Prevotella","Zotu14489",0.03,"Winter","Eff"
"Prevotella","Zotu14500",0.004,"Spring-Winter","Eff"
"Fretibacterium","Zotu14508",0.011,"Fall","Eff"
"Bacteroides","Zotu14511",0.012,"Spring-Winter","Eff"
"Lactobacillus","Zotu14517",0.008,"Spring","Eff"
"Coprococcus","Zotu14520",0.001,"Spring-Winter","Eff"
"Faecalibacterium","Zotu14538",0.003,"Winter","Eff"
"Enterobacter","Zotu14540",0.002,"Winter","Eff"
"Clostridium_sensu_stricto_1","Zotu14542",0.014,"Spring-Winter","Eff"
"Bifidobacterium","Zotu14545",0.004,"Winter","Eff"
"Faecalibacterium","Zotu14550",0.013,"Spring-Winter","Eff"
"Dechlorobacter","Zotu14556",0.001,"Winter","Eff"
"Desulfobulbus","Zotu14558",0.002,"Spring-Winter","Eff"
"Thauera","Zotu14564",0.016,"Spring-Winter","Eff"
"Rhodobacter","Zotu14566",0.014,"Spring-Winter","Eff"
"uncultured","Zotu14572",0.011,"Winter","Eff"
"Enterobacter","Zotu14574",0.012,"Spring","Eff"
"Macellibacteroides","Zotu14577",0.019,"Winter","Eff"
"Bacteroides","Zotu14578",0.004,"Spring","Eff"
"Prevotella","Zotu14579",0.002,"Winter","Eff"
"Acidovorax","Zotu14581",0.049,"Winter","Eff"
"Lineage_IV","Zotu14586",0.005,"Spring-Winter","Eff"
"Bdellovibrio","Zotu14595",0.025,"Winter","Eff"
"Beijerinckiaceae","Zotu14603",0.001,"Spring-Winter","Eff"
"uncultured","Zotu14608",0.025,"Spring-Winter","Eff"
"Limnohabitans","Zotu14609",0.006,"Winter","Eff"
"Roseomonas","Zotu14613",0.003,"Winter","Eff"
"Fibrobacteraceae","Zotu14616",0.005,"Spring-Winter","Eff"
"Prevotella","Zotu14621",0.03,"Spring-Winter","Eff"
"TM7x","Zotu14625",0.029,"Spring-Winter","Eff"
"Faecalibacterium","Zotu14630",0.025,"Spring-Winter","Eff"
"Coprothermobacter","Zotu14632",0.042,"Spring","Eff"
"Acetobacteroides","Zotu14640",0.031,"Spring-Winter","Eff"
"Prevotella","Zotu14656",0.032,"Spring-Winter","Eff"
"Pseudomonas","Zotu14658",0.003,"Spring","Eff"
"Streptococcus","Zotu14662",0.001,"Spring-Winter","Eff"
"Prevotella","Zotu14671",0.02,"Spring","Eff"
"Bifidobacterium","Zotu14675",0.009,"Spring-Winter","Eff"
"Clostridia_UCG-014","Zotu14679",0.035,"Winter","Eff"
"Serratia","Zotu14683",0.001,"Spring-Winter","Eff"
"Acinetobacter","Zotu14684",0.013,"Spring-Winter","Eff"
"Desulfobulbus","Zotu14694",0.008,"Spring-Winter","Eff"
"Proteocatella","Zotu14702",0.001,"Spring-Winter","Eff"
"Nubsella","Zotu14730",0.002,"Spring-Winter","Eff"
"Fusicatenibacter","Zotu14738",0.001,"Spring-Winter","Eff"
"Roseomonas","Zotu14739",0.001,"Spring","Eff"
"Flavobacterium","Zotu14744",0.01,"Winter","Eff"
"Bacteroides","Zotu14750",0.01,"Spring","Eff"
"Desulfovibrio","Zotu14752",0.011,"Spring","Eff"
"Bacteroides","Zotu14755",0.017,"Spring-Winter","Eff"
"SC-I-84","Zotu14760",0.017,"Winter","Eff"
"Desulforegula","Zotu14763",0.014,"Spring-Winter","Eff"
"Caldicoprobacter","Zotu14764",0.008,"Spring-Winter","Eff"
"Defluviimonas","Zotu14769",0.001,"Spring","Eff"
"[Eubacterium]_hallii_group","Zotu14780",0.012,"Spring","Eff"
"Coprothermobacter","Zotu14787",0.007,"Spring","Eff"
"Flavobacterium","Zotu14825",0.014,"Spring","Eff"
"Desulfonema","Zotu14836",0.017,"Spring-Winter","Eff"
"Dethiobacter","Zotu14844",0.003,"Spring-Winter","Eff"
"Acinetobacter","Zotu14845",0.005,"Spring-Winter","Eff"
"uncultured","Zotu14848",0.02,"Spring-Winter","Eff"
"Peredibacter","Zotu14849",0.001,"Spring-Winter","Eff"
"Acinetobacter","Zotu14851",0.038,"Fall-Winter","Eff"
"Serratia","Zotu14854",0.001,"Spring-Winter","Eff"
"Paludibacter","Zotu14856",0.004,"Fall-Spring-Winter","Eff"
"Bdellovibrio","Zotu14858",0.004,"Winter","Eff"
"Prevotella","Zotu14865",0.021,"Winter","Eff"
"Anaerolinea","Zotu14869",0.001,"Spring","Eff"
"Bdellovibrio","Zotu14877",0.034,"Winter","Eff"
"Saccharimonadales","Zotu14879",0.007,"Winter","Eff"
"Clostridium_sensu_stricto_13","Zotu14880",0.037,"Spring-Winter","Eff"
"uncultured","Zotu14883",0.001,"Spring-Winter","Eff"
"Butyricicoccus","Zotu14884",0.002,"Spring","Eff"
"Bacteroides","Zotu14887",0.017,"Spring","Eff"
"Unknown_Family","Zotu14888",0.006,"Winter","Eff"
"Bacteroides","Zotu14890",0.01,"Winter","Eff"
"DTU014","Zotu14891",0.001,"Spring-Winter","Eff"
"Aeromonas","Zotu14894",0.005,"Spring-Winter","Eff"
"Dechlorobacter","Zotu14900",0.002,"Spring","Eff"
"Paludibacter","Zotu14913",0.018,"Winter","Eff"
"Propionicicella","Zotu14914",0.048,"Spring-Winter","Eff"
"Paludibacterium","Zotu14916",0.021,"Spring-Winter","Eff"
"Trichlorobacter","Zotu14917",0.011,"Spring-Winter","Eff"
"Prevotella","Zotu14919",0.023,"Spring-Winter","Eff"
"DEV008","Zotu14920",0.009,"Spring-Winter","Eff"
"Muribaculaceae","Zotu14922",0.008,"Spring-Winter","Eff"
"Sphingopyxis","Zotu14923",0.019,"Spring","Eff"
"[Ruminococcus]_gauvreauii_group","Zotu14924",0.009,"Spring-Winter","Eff"
"Dechloromonas","Zotu14925",0.044,"Spring-Winter","Eff"
"Treponema","Zotu14933",0.003,"Spring-Winter","Eff"
"Aeromonas","Zotu14943",0.005,"Spring-Winter","Eff"
"Anaerospora","Zotu14948",0.003,"Spring","Eff"
"Williamwhitmania","Zotu14955",0.017,"Spring-Winter","Eff"
"Aeromonas","Zotu14958",0.002,"Spring-Winter","Eff"
"Lachnospiraceae_NK4A136_group","Zotu14964",0.009,"Winter","Eff"
"Hyphomicrobium","Zotu14967",0.045,"Winter","Eff"
"Beggiatoa","Zotu14975",0.01,"Spring-Winter","Eff"
"Saccharimonadales","Zotu14977",0.001,"Winter","Eff"
"Christensenellaceae_R-7_group","Zotu14979",0.01,"Spring-Winter","Eff"
"Beutenbergiaceae","Zotu14983",0.002,"Spring-Winter","Eff"
"Acinetobacter","Zotu14986",0.014,"Spring-Winter","Eff"
"Blautia","Zotu14992",0.01,"Winter","Eff"
"Williamwhitmania","Zotu14995",0.008,"Spring-Winter","Eff"
"Chryseobacterium","Zotu14996",0.001,"Spring-Winter","Eff"
"Oscillibacter","Zotu14997",0.004,"Spring-Winter","Eff"
"Fusicatenibacter","Zotu15014",0.001,"Winter","Eff"
"Candidatus_Accumulibacter","Zotu15019",0.006,"Winter","Eff"
"Acetobacteroides","Zotu15029",0.024,"Winter","Eff"
"Limnochordaceae","Zotu15033",0.027,"Spring-Winter","Eff"
"uncultured","Zotu15049",0.014,"Spring-Winter","Eff"
"Prevotella","Zotu15053",0.004,"Spring-Winter","Eff"
"Lactobacillus","Zotu15055",0.034,"Spring-Winter","Eff"
"Faecalibacterium","Zotu15057",0.025,"Winter","Eff"
"Megasphaera","Zotu15063",0.021,"Winter","Eff"
"Anaeromyxobacter","Zotu15065",0.001,"Winter","Eff"
"Coprothermobacter","Zotu15071",0.017,"Winter","Eff"
"Enterobacter","Zotu15073",0.012,"Winter","Eff"
"Rhodoferax","Zotu15075",0.001,"Winter","Eff"
"Acinetobacter","Zotu15079",0.013,"Spring-Winter","Eff"
"Paracoccus","Zotu15080",0.019,"Spring-Winter","Eff"
"uncultured","Zotu15083",0.004,"Winter","Eff"
"RF39","Zotu15084",0.003,"Spring-Winter","Eff"
"Rhodoferax","Zotu15093",0.018,"Spring-Winter","Eff"
"TM7a","Zotu15099",0.004,"Spring-Winter","Eff"
"Paludibacter","Zotu15101",0.036,"Spring-Winter","Eff"
"Sulfuricurvum","Zotu15103",0.022,"Winter","Eff"
"Candidatus_Competibacter","Zotu15107",0.001,"Spring","Eff"
"uncultured","Zotu15109",0.031,"Spring","Eff"
"uncultured","Zotu15110",0.02,"Spring-Winter","Eff"
"Faecalibacterium","Zotu15112",0.037,"Spring-Winter","Eff"
"Cloacibacterium","Zotu15116",0.037,"Spring-Winter","Eff"
"mle1-27","Zotu15118",0.026,"Spring-Winter","Eff"
"Bifidobacterium","Zotu15127",0.033,"Spring","Eff"
"LCP-89","Zotu15128",0.001,"Spring-Winter","Eff"
"[Eubacterium]_coprostanoligenes_group","Zotu15130",0.002,"Winter","Eff"
"uncultured","Zotu15132",0.001,"Spring-Winter","Eff"
"Z-35","Zotu15133",0.003,"Winter","Eff"
"Candidatus_Caldatribacterium","Zotu15134",0.001,"Spring-Winter","Eff"
"Caldicoprobacter","Zotu15135",0.001,"Spring-Winter","Eff"
"Dysgonomonas","Zotu15137",0.004,"Spring-Winter","Eff"
"Sulfuricurvum","Zotu15141",0.001,"Winter","Eff"
"Blautia","Zotu15144",0.002,"Spring-Winter","Eff"
"Chloroplast","Zotu15146",0.009,"Winter","Eff"
"HN-HF0106","Zotu15148",0.003,"Spring-Winter","Eff"
"M2PB4-65_termite_group","Zotu15150",0.001,"Spring-Winter","Eff"
"Blautia","Zotu15151",0.012,"Spring-Winter","Eff"
"Chryseobacterium","Zotu15153",0.038,"Winter","Eff"
"Lachnospiraceae_NK4A136_group","Zotu15161",0.002,"Spring","Eff"
"Succinivibrio","Zotu15172",0.047,"Spring-Winter","Eff"
"uncultured","Zotu15176",0.001,"Spring-Winter","Eff"
"Acetobacteroides","Zotu15185",0.007,"Winter","Eff"
"Megamonas","Zotu15192",0.019,"Spring","Eff"
"Acetobacteroides","Zotu15193",0.004,"Spring","Eff"
"Aeromonas","Zotu15196",0.001,"Spring-Winter","Eff"
"Hydrogenedensaceae","Zotu15206",0.003,"Spring","Eff"
"Prevotella","Zotu15207",0.005,"Spring-Winter","Eff"
"Bact-08","Zotu15208",0.018,"Winter","Eff"
"SM2D12","Zotu15209",0.001,"Spring","Eff"
"Izemoplasmatales","Zotu15232",0.028,"Spring-Winter","Eff"
"Novosphingobium","Zotu15235",0.014,"Spring-Winter","Eff"
"Spirochaeta_2","Zotu15240",0.001,"Spring-Winter","Eff"
"Monoglobus","Zotu15245",0.011,"Spring-Winter","Eff"
"Coprothermobacter","Zotu15246",0.001,"Winter","Eff"
"Sulfurospirillum","Zotu15248",0.001,"Spring-Winter","Eff"
"Holophaga","Zotu15253",0.001,"Spring","Eff"
"Bacteroides","Zotu15254",0.007,"Winter","Eff"
"Bilophila","Zotu15262",0.009,"Winter","Eff"
"Pseudomonas","Zotu15265",0.006,"Spring-Winter","Eff"
"Subdoligranulum","Zotu15279",0.001,"Spring-Winter","Eff"
"Bacteroides","Zotu15281",0.029,"Spring-Winter","Eff"
"Ruminococcus","Zotu15283",0.002,"Winter","Eff"
"Microbacteriaceae","Zotu15285",0.006,"Spring-Winter","Eff"
"Oscillibacter","Zotu15295",0.001,"Spring-Winter","Eff"
"uncultured","Zotu15306",0.042,"Spring-Winter","Eff"
"Bacteroides","Zotu15308",0.029,"Winter","Eff"
"Desulforegula","Zotu15312",0.005,"Winter","Eff"
"Absconditabacteriales_","Zotu15313",0.005,"Winter","Eff"
"Acinetobacter","Zotu15317",0.007,"Winter","Eff"
"Acinetobacter","Zotu15318",0.003,"Winter","Eff"
"Dechloromonas","Zotu15320",0.005,"Spring","Eff"
"Megasphaera","Zotu15322",0.003,"Spring-Winter","Eff"
"uncultured","Zotu15325",0.005,"Spring-Winter","Eff"
"[Eubacterium]_hallii_group","Zotu15327",0.048,"Spring-Winter","Eff"
"Bacteroides","Zotu15328",0.007,"Winter","Eff"
"Bacteroides","Zotu15334",0.004,"Spring-Winter","Eff"
"Pseudomonas","Zotu15344",0.003,"Spring-Winter","Eff"
"Candidatus_Hodgkinia","Zotu15345",0.003,"Spring","Eff"
"Butyrivibrio","Zotu15354",0.011,"Spring-Winter","Eff"
"Propionivibrio","Zotu15361",0.008,"Spring","Eff"
"Propionivibrio","Zotu15362",0.007,"Spring","Eff"
"Aeromonas","Zotu15375",0.007,"Spring-Winter","Eff"
"Saccharofermentans","Zotu15376",0.002,"Winter","Eff"
"PBS-18","Zotu15379",0.006,"Winter","Eff"
"D8A-2","Zotu15385",0.007,"Spring-Winter","Eff"
"Acinetobacter","Zotu15387",0.001,"Spring-Winter","Eff"
"Aeromonas","Zotu15389",0.002,"Spring-Winter","Eff"
"Acinetobacter","Zotu15391",0.023,"Spring","Eff"
"Duganella","Zotu15392",0.035,"Winter","Eff"
"Corynebacterium","Zotu15396",0.005,"Spring","Eff"
"uncultured","Zotu15399",0.004,"Spring-Winter","Eff"
"Dechloromonas","Zotu15402",0.001,"Winter","Eff"
"Amaricoccus","Zotu15404",0.002,"Spring","Eff"
"uncultured","Zotu15409",0.003,"Winter","Eff"
"Lachnospiraceae_ND3007_group","Zotu15413",0.01,"Spring-Winter","Eff"
"Tepidimicrobium","Zotu15414",0.016,"Spring-Winter","Eff"
"MVP-15","Zotu15417",0.019,"Spring","Eff"
"WCHB1-32","Zotu15418",0.017,"Spring","Eff"
"A0839","Zotu15421",0.001,"Spring","Eff"
"T34","Zotu15425",0.001,"Winter","Eff"
"Tolumonas","Zotu15427",0.001,"Spring-Winter","Eff"
"Acinetobacter","Zotu15433",0.001,"Spring-Winter","Eff"
"Subdoligranulum","Zotu15434",0.016,"Spring-Winter","Eff"
"Anaerospora","Zotu15435",0.001,"Spring-Winter","Eff"
"Paludibacter","Zotu15439",0.001,"Winter","Eff"
"uncultured","Zotu15440",0.006,"Spring-Winter","Eff"
"Phascolarctobacterium","Zotu15443",0.001,"Spring","Eff"
"Bacteroides","Zotu15446",0.005,"Winter","Eff"
"Prevotella","Zotu15449",0.007,"Winter","Eff"
"BSV26","Zotu15451",0.002,"Spring-Winter","Eff"
"Hydrogenophaga","Zotu15462",0.028,"Spring-Winter","Eff"
"uncultured","Zotu15465",0.001,"Winter","Eff"
"Cronobacter","Zotu15468",0.006,"Spring","Eff"
"Anaerocella","Zotu15476",0.001,"Spring","Eff"
"Aeromonas","Zotu15481",0.028,"Winter","Eff"
"Acinetobacter","Zotu15482",0.008,"Spring-Winter","Eff"
"Romboutsia","Zotu15483",0.003,"Spring-Winter","Eff"
"KD3-10","Zotu15487",0.002,"Spring-Winter","Eff"
"Dechloromonas","Zotu15488",0.001,"Winter","Eff"
"Bacteroides","Zotu15490",0.007,"Spring-Winter","Eff"
"uncultured","Zotu15492",0.003,"Spring","Eff"
"uncultured","Zotu15494",0.001,"Spring-Winter","Eff"
"Flavobacterium","Zotu15497",0.006,"Spring","Eff"
"Blautia","Zotu15500",0.018,"Winter","Eff"
"Bifidobacterium","Zotu15502",0.002,"Winter","Eff"
"Saccharimonadales","Zotu15503",0.001,"Spring","Eff"
"Blautia","Zotu15504",0.001,"Spring-Winter","Eff"
"Aurantisolimonas","Zotu15505",0.003,"Spring-Winter","Eff"
"uncultured","Zotu15506",0.005,"Spring-Winter","Eff"
"Phenylobacterium","Zotu15508",0.043,"Spring-Winter","Eff"
"Prevotella","Zotu15509",0.001,"Spring-Winter","Eff"
"Paracoccus","Zotu15510",0.001,"Spring","Eff"
"Bacteroidetes_vadinHA17","Zotu15511",0.038,"Spring-Winter","Eff"
"Macellibacteroides","Zotu15515",0.001,"Spring","Eff"
"uncultured","Zotu15518",0.001,"Spring-Winter","Eff"
"Acetobacteroides","Zotu15520",0.047,"Spring-Winter","Eff"
"ST-12K33","Zotu15523",0.008,"Spring-Winter","Eff"
"Flavobacterium","Zotu15527",0.024,"Winter","Eff"
"Subdoligranulum","Zotu15528",0.008,"Spring-Winter","Eff"
"FTLpost3","Zotu15531",0.004,"Spring-Winter","Eff"
"Neisseria","Zotu15534",0.011,"Spring-Winter","Eff"
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","Zotu15535",0.004,"Spring-Winter","Eff"
"Klebsiella","Zotu15536",0.002,"Spring-Winter","Eff"
"Enterobacter","Zotu15539",0.003,"Winter","Eff"
"Pla1_lineage","Zotu15541",0.003,"Spring-Winter","Eff"
"Lachnospiraceae_ND3007_group","Zotu15543",0.001,"Spring","Eff"
"Bacteroides","Zotu15544",0.018,"Winter","Eff"
